Number,Country,Country ID (CCCCii),Old Country ID,WMO Code,WIGOS Station Identifier,ODIM code,Location,Opera Status,Latitude,Longitude,Height of station (m),Band,Doppler,Polarization,Max Range (km),Start Year,Height Antenna (m),diameterantenna,Beam,Gain (dB),Frequency (GHz),Available for Stratus (min),Available for Cirrus/Nimbus (min),WRWP (min)
1241,Spain,LEMM50,SP50,8262,,esbad,Sierra de Fuentes (Caceres),1,39.4289,-6.2853,652,C,Y,S,240,1994,665,4.2,0.9,44.9,5.62,,,
1242,Spain,LEMM51,SP51,8475,,esmal,Alhaurin el Grande (Malaga),1,36.6133,-4.6592,1147,C,Y,S,240,1999,1160,4.2,0.9,44.9,5.62,,,
1243,Spain,LEMM52,SP52,8386,,essev,Castillo las Guardas (Sevilla),1,37.6875,-6.3344,517,C,Y,S,240,1998,530,4.2,0.9,44.9,5.62,,,
1244,Spain,LEMM53,SP53,8489,,esalm,Nijar (Almeria),1,36.8325,-2.0822,486,C,Y,S,240,2000,499,4.2,0.9,44.9,5.62,,,
1245,Spain,LEMM54,SP54,8308,,espma,Llucmajor (Baleares),1,39.3797,2.785,117,C,Y,S,240,2007,130,4.2,0.9,44.9,5.62,,,
1246,Spain,LEMM60,SP60,60028,,eslpa,Artenara (Gran Canaria),1,28.0186,-15.6144,1765,C,Y,S,300,1999,1778,4.2,0.9,44.9,5.62,,,
1231,Sweden,ESWI40,SE40,2032,0-20000-0-2032,sekrn,Kiruna,1,67.7088,20.6178,640,C,Y,D,240,2020,647,4.2,1,44.3,5.605,,,
1227,Sweden,ESWI41,SE41,2092,0-20000-0-2092,sella,Luleå (Rosvik),1,65.4309,21.865,47,C,Y,D,240,2018,68,4.2,1,44.3,5.605,,,
1230,Sweden,ESWI42,SE42,2200,0-20000-0-2200,seosd,Östersund,1,63.2951,14.7591,451,C,Y,D,240,2016,466,4.2,1,44.3,5.605,,,
1226,Sweden,ESWI43,SE43,2262,0-20000-0-2262,seoer,Örnsköldsvik,1,63.6395,18.4019,508,C,Y,D,240,2017,522,4.2,1,44.3,5.605,,,
1228,Sweden,ESWI44,SE44,2334,0-20000-0-2334,sehuv,Hudiksvall,1,61.5771,16.7144,375,C,Y,D,240,2017,389,4.2,1,44.3,5.605,,,
1229,Sweden,ESWI45,SE45,2430,0-20000-0-2430,selek,Leksand,1,60.723,14.8776,439,C,Y,D,240,2017,457,4.2,1,44.3,5.605,,,
1223,Sweden,ESWI52,SE52,,0-21010-0-724,sebaa,Bålsta,1,59.611,17.5833,59,C,Y,D,240,2019,83,4.2,1,44.3,5.605,,,
1224,Sweden,ESWI47,SE47,2588,0-20000-0-2588,sehem,Hemse (Ase),1,57.3035,18.4001,59,C,Y,D,240,2017,85,4.2,1,44.3,5.605,,,
1288,Sweden,ESWI48,SE48,2570,0-20000-0-2570,seatv,Åtvidaberg (Vilebo),1,58.1059,15.9363,200,C,Y,D,240,2019,223,4.2,1,44.3,5.605,,,
1289,Sweden,ESWI49,SE49,2600,0-20000-0-2600,sevax,Vara,1,58.2556,12.826,128,C,Y,D,240,2016,164,4.2,1,44.3,5.605,,,
1274,Sweden,ESWI50,SE50,2606,0-20000-0-2606,seang,Ängelholm,1,56.3675,12.8517,187,C,Y,D,240,2015,209,4.2,1,44.3,5.605,,,
1225,Sweden,ESWI51,SE51,2666,0-20000-0-2666,sekaa,Karlskrona,1,56.2955,15.6102,106,C,Y,D,240,2018,132,4.2,1,44.3,5.605,,,
1249,Switzerland,LSSW41,SW41,6661,,chalb,Albis,1,47.2843,8.512,938,C,Y,D,246,1994,938,4.3,1,45,5.45,,,
1250,Switzerland,LSSW42,SW42,6699,,chdol,La Dole,1,46.4251,6.0994,1682,C,Y,D,246,1995,1682,4.3,1,45,5.43,,,
1251,Switzerland,LSSW43,SW43,6768,,chlem,Monte Lema,1,46.0408,8.8332,1626,C,Y,D,246,1993,1626,4.3,1,45,5.455,,,
1361,Switzerland,LSSW51,SW51,6726,,chppm,Plaine Monte,1,46.3706,7.4866,2937,C,Y,D,246,2013,2937,4.3,1,45,5.468,,,
1372,Switzerland,LSSW52,SW52,6776,,chwei,Weissfluhgiptel,1,46.835,9.7945,2850,C,Y,D,246,2015,2850,4.3,1,45,5.433,,,
1252,United Kingdom,EGRR43,UK43,3523,,ukcle,Clee Hill,1,52.3986,-2.5954,505,C,Y,D,255,1993,529,3.66,1,43,5.608,,,
1253,United Kingdom,EGRR44,UK44,3331,,ukham,Hameldon Hill,1,53.7548,-2.2892,396,C,Y,D,255,1979,402,3.66,1,43,5.643,,,
1254,United Kingdom,EGRR45,UK45,3675,,ukche,Chenies,1,51.6895,-0.5302,138,C,Y,D,255,1984,153,3.66,1,43,5.622,,,
1255,United Kingdom,EGRR47,UK47,3918,,ukcas,Castor Bay,1,54.502,-6.3429,23,C,Y,D,255,1985,41,3.66,1,43,5.625,,,
1256,United Kingdom,EGRR48,UK48,3813,,ukpre,Predannack,1,50.0034,-5.223,88,C,Y,D,255,1986,103,3.66,1,43,5.645,,,
1257,United Kingdom,EGRR49,UK49,3375,,uking,Ingham,1,53.3347,-0.5594,66,C,Y,D,255,1987,86,3.66,1,43,5.624,,,
1258,United Kingdom,EGRR50,UK50,3601,,ukcyg,Crug y Gorllwyn,1,51.9798,-4.4446,323,C,Y,D,255,1989,337,3.66,1,43,5.633,,,
1260,United Kingdom,EGRR52,UK52,3897,,ukjer,Jersey,1,49.1772,-2.2239,67,C,Y,D,255,1990,85,3.66,1,43,5.625,,,
1262,United Kingdom,EGRR54,UK54,3086,,ukdud,Hill Of Dudwick,1,57.4304,-2.0367,173,C,Y,D,255,1991,186,3.66,1,43,5.624,,,
1263,United Kingdom,EGRR55,UK55,3018,,uklew,Druim A'Starraig,1,58.2117,-6.1821,84,C,Y,D,255,1991,98,3.66,1,43,5.624,,,
1264,United Kingdom,EGRR56,UK56,3842,,ukcob,Cobbacombe Cross,1,50.9639,-3.4521,282,C,Y,D,255,1993,302,3.66,1,43,5.609,,,
1259,United Kingdom,EGRR58,UK58,3142,,ukhhd,Holehead,1,56.018,-4.2171,550,C,Y,D,255,2007,558,3.66,1,43,5.624,,,
1319,United Kingdom,EGRR59,UK59,3159,,ukmun,Munduff Hill,1,56.2148,-3.3118,445,C,Y,D,255,2008,462,3.66,1,43,5.643,,,
1313,United Kingdom,EGRR60,UK60,3771,,ukthu,Thurnham,1,51.2948,0.6043,197,C,Y,D,255,2006,222,3.66,1,45,5.63,,,
1312,United Kingdom,EGRR61,UK61,3859,,ukdea,Dean Hill,1,51.0307,-1.6534,155,C,Y,D,255,2005,180,3.66,1,43,5.627,,,
1321,United Kingdom,EGRR63,UK63,3253,,ukhmy,High Moorsley,1,54.8034,-1.4746,161,C,Y,D,255,2008,174,3.66,1,43,5.628,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1411,,,,,,,,,,,,,,,,,,,,,,,,
