Number,Country,Country ID (CCCCii),Old Country ID,WMO Code,WIGOS Station Identifier,ODIM code,Location,Opera Status,Latitude,Longitude,Height of station (m),Band,Doppler,Polarization,Max Range (km),Start Year,Height Antenna (m),diameterantenna,Beam,Gain (dB),Frequency (GHz),Available for Stratus (min),Available for Cirrus/Nimbus (min),WRWP (min)
1303,France,LFPW63,FR63,7083,,frave,Avesnes,1,50.1283,3.8118,191.6,C,Y,D,256,2005,208.8,3.7,1.1,43.8,5.628,,,
1304,France,LFPW64,FR64,7336,,frche,Cherves,1,46.6986,0.0656,159.4,C,Y,D,256,2005,174.4,3.7,1.1,43.8,5.637,,,
1305,France,LFPW65,FR65,7274,,frbla,Blaisy-Haut,1,47.3552,4.7759,592.1,C,Y,D,256,2006,607.2,3.7,1.1,43.8,5.62,,,
1306,France,LFPW66,FR66,7606,,frmom,Momuy,1,43.6245,-0.6094,126.5,C,Y,D,256,2006,145.7,3.7,1.1,43.8,5.638,,,
1352,France,LFPW67,FR67,7291,,frmtc,Montancy,1,47.3686,7.019,912.9,C,Y,D,256,2007,925.7,3.7,1.1,43.8,5.625,,,
1373,France,LFPW69,FR69,7578,,,Mont Colombis,0,44.4961,6.2206,1736,X,Y,D,256,2012,1757,1.8,1.3,42,9.398,,,
1374,France,LFPW68,FR68,7572,,frmau,Mont Maurel,1,44.0128,6.5292,1772,X,Y,D,256,2010,1773,1.8,1.3,42,9.375,,,
1375,France,LFPW43,FR43,7468,,,Moucherotte,0,45.1477,5.6394,1895,X,Y,D,256,2014,1909,1.8,1.3,42,9.375,,,
1376,France,LFPW60,FR60,7714,,,Vars,0,44.5876,6.6531,2575,X,Y,D,256,2013,2580.7,1.8,1.3,42,9.474,,,
1394,France,LFPW37,FR37,7760,,fraja,Ajaccio,1,41.9531,8.7005,778,C,Y,D,256,2018,784,3.7,1.1,44,5.62,,,
1395,France,LFPW38,FR38,7366,,,Saint-Rémy,0,46.0666,2.9606,647,X,Y,D,256,2018,660,1.8,1.4,42,9.475,,,
1396,France,LFPW36,FR36,7122,,,Noyal-Pontivy,0,48.0468,-2.8942,137,X,Y,D,256,2019,155,1.8,1.4,42,9.475,,,
1350,Germany,EDZW84,DL84,10950,,demem,Memmingen,1,48.0421,10.2192,667,C,Y,D,180,2013,724.4,4.3,0.9,45,5.63,,,
1351,Germany,EDZW61,DL61,10629,,deoft,Offenthal,1,49.9847,8.7129,198,C,Y,D,180,2011,245.8,4.3,0.9,45,5.64,,,
1133,Germany,EDZW41,DL41,10204,,deemd,Emden,0,53.3387,7.0237,2,C,Y,S,180,1994,58,4,1,44.5,5.64,,,
1389,Germany,EDZW40,DL40,10103,,deasb,Isle of Borkum,1,53.564,6.7482,4,C,Y,S,180,2018,36.2,2.4,1,45.3,5.64,,,
1357,Germany,EDZW55,DL55,10132,,deboo,Boostedt,1,54.0043,10.0468,92,C,Y,D,180,2014,124.6,4.3,0.9,45,5.625,,,
1135,Germany,EDZW43,DL43,10169,,deros,Rostock,1,54.1757,12.058,1,C,Y,D,180,2014,37.1,4.3,0.9,45,5.64,,,
1358,Germany,EDZW44,DL44,10339,,dehnr,Hannover,1,52.46,9.6945,51,C,Y,D,180,2014,97.8,4.3,0.9,45,5.64,,,
1359,Germany,EDZW65,DL65,10392,,depro,Protzel/Berlin,1,52.6486,13.858,136,C,Y,D,180,2014,193.9,4.3,0.9,45,5.64,,,
1138,Germany,EDZW51,DL51,10410,,deess,Essen,1,51.4055,6.9669,152,C,Y,D,180,2012,185.1,4.3,0.9,45,5.64,,,
